Year,Tmax,DT,E0_OA1,E0_OA0,E1_OA1,E1_OA0
1870,29.678,0,99.688,99.688,99.567,99.567
1880,28.577,0,99.649,99.649,99.455,99.455
1890,26.787,0,99.481,99.481,99.283,99.273
1900,27.379,0,99.387,99.387,99.065,99.055
1910,26.249,0,99.47,99.47,99.106,99.096
1920,27.425,0,98.618,98.597,98.047,98.005
1930,27.077,0.0056685,98.421,98.39,97.787,97.735
1940,26.723,0.063993,98.151,98.109,97.371,97.319
1950,28.55,0.10432,97.226,97.174,96.343,96.26
1951,27.8,0.13341,96.592,96.509,95.636,95.522
1952,27.128,0.17073,96.748,96.655,95.844,95.73
1953,27.787,0.14285,96.416,96.301,95.532,95.397
1954,28.745,0.10295,96.738,96.634,95.99,95.865
1955,28.41,0.088391,97.195,97.091,96.488,96.374
1956,27.556,0.10743,97.257,97.174,96.53,96.436
1957,27.519,0.14941,97.735,97.673,96.997,96.925
1958,26.875,0.13939,97.974,97.932,97.205,97.153
1959,26.56,0.087271,97.444,97.403,96.509,96.447
1960,26.726,0.077761,97.569,97.496,96.613,96.53
1961,26.251,0.1039,97.974,97.901,97.122,97.039
1962,26.307,0.060047,97.932,97.87,97.132,97.06
1963,27.286,0,98.005,97.943,97.247,97.184
1964,27.52,0,98.057,97.984,97.33,97.268
1965,26.749,0,97.777,97.714,97.101,97.07
1966,26.555,0,97.558,97.475,96.883,96.852
1967,27.108,0,97.527,97.413,96.894,96.842
1968,27,0,97.59,97.455,97.008,96.935
1969,26.165,0,98.088,97.932,97.642,97.558
1970,26.261,0.0083133,98.722,98.587,98.452,98.369
1971,27.485,0.041306,99.023,98.899,98.805,98.732
1972,28.319,0.058366,99.013,98.909,98.836,98.784
1973,27.952,0.071659,99.096,99.013,98.961,98.909
1974,26.532,0.055336,99.158,99.096,99.075,99.034
1975,26.163,0.034272,99.117,99.065,99.003,98.961
1976,27.215,0.051353,99.242,99.21,99.138,99.096
1977,28.168,0.093785,99.522,99.501,99.46,99.418
1978,28.169,0.12414,99.564,99.553,99.522,99.501
1979,27.19,0.13122,99.626,99.626,99.584,99.574
1980,26.353,0.14025,99.543,99.543,99.47,99.47
1981,25.708,0.13095,99.138,99.138,99.117,99.117
1982,25.432,0.12622,97.496,97.496,97.319,97.319
1983,25.61,0.14979,97.434,97.413,97.195,97.195
1984,26.154,0.19158,97.268,97.247,96.956,96.945
1985,26.855,0.18933,96.821,96.8,96.499,96.488
1986,26.995,0.20309,94.234,94.192,93.642,93.631
1987,27.619,0.25413,93.974,93.932,93.403,93.413
1988,28.406,0.29744,92.447,92.426,91.761,91.782
1989,28.288,0.27635,90.94,90.909,90.203,90.244
1990,27.297,0.25764,89.403,89.319,88.53,88.54
1991,26.885,0.27041,90.255,90.14,89.455,89.444
1992,27.594,0.30448,90.192,90.057,89.361,89.33
1993,28.046,0.29718,90.39,90.203,89.61,89.538
1994,28.506,0.29106,89.818,89.579,88.987,88.842
1995,28.619,0.34131,90.036,89.797,89.205,89.039
1996,28.277,0.42424,90.348,90.099,89.527,89.319
1997,28.474,0.46478,91.273,91.023,90.712,90.452
1998,28.862,0.46548,90.639,90.421,90.244,89.964
1999,28.976,0.47169,91.47,91.283,91.325,91.034
2000,28.816,0.51905,89.943,89.766,90.171,89.891
2001,28.805,0.57439,88.831,88.644,89.662,89.361
2002,28.672,0.61101,87.896,87.688,88.873,88.53
2003,28.232,0.58494,87.522,87.283,88.8,88.426
2004,28.333,0.57779,85.278,85.008,86.982,86.535
2005,28.561,0.63115,86.068,85.839,87.99,87.564
2006,28.59,0.6619,82.919,82.764,85.112,84.8
2007,28.609,0.68251,79.99,79.865,82.743,82.577
2008,28.403,0.71944,77.673,77.642,80.883,80.79
2009,28.109,0.70398,76.592,76.655,80.156,80.197
2010,28.324,0.6932,73.371,73.486,77.59,77.662
2011,28.561,0.71597,74.494,74.722,79.127,79.221
2012,28.635,0.72679,74.597,74.909,79.522,79.616
2013,28.51,0.70374,74.255,74.629,79.719,79.803
2014,28.231,0.71896,73.683,74.182,79.803,79.865
2015,28.234,0.74901,74.722,75.304,81.205,81.278
2016,28.397,0.75372,74.691,75.273,81.496,81.455
2017,28.528,0.76631,76.332,76.987,83.179,83.117
2018,28.527,0.80124,78.535,79.179,84.997,84.956
2019,27.973,0.83185,76.904,77.569,83.564,83.584
2020,27.213,0.87456,75.075,75.938,82.961,82.94
2021,27.531,0.91355,76.114,77.247,84.291,84.343
2022,28.128,0.90231,75.449,76.852,84.114,84.218
2023,28.375,0.8968,74.234,75.855,83.688,83.823
2024,28.504,0.8992,74.545,76.353,84.332,84.592
2025,28.502,0.93058,74.608,76.436,84.551,84.904
2026,27.922,0.94618,72.53,74.255,83.449,83.834
2027,27.1,0.91655,70.494,72.114,82.462,82.795
2028,27.28,0.92437,68.914,70.535,81.704,82.047
2029,27.832,0.94136,67.418,68.966,81.174,81.351
2030,28.17,0.9777,65.621,67.158,79.678,79.844
2031,28.333,1.0123,64.083,65.714,79.345,79.532
2032,28.353,0.97954,61.995,63.657,78.161,78.327
2033,28.274,0.95966,59.855,61.704,76.852,77.008
2034,28.262,1.0287,59.543,61.548,76.686,76.894
2035,28.308,1.0808,60.114,62.306,78.151,78.421
2036,28.284,1.068,60,62.327,77.735,78.119
2037,28.186,1.0489,59.844,62.171,77.07,77.455
2038,28.166,1.0576,60.281,62.681,77.091,77.434
2039,28.219,1.077,61.049,63.512,77.444,77.694
2040,28.289,1.0718,62.005,64.312,77.205,77.371
2041,28.311,1.0674,63.013,65.205,78.088,78.182
2042,28.088,1.0388,64.395,66.639,79.979,80.114
2043,27.753,0.98636,65.444,67.626,81.787,82.036
2044,27.797,0.96436,66.795,68.987,84.291,84.675
2045,27.996,0.96861,67.46,69.756,85.953,86.358
2046,28.11,0.96479,67.668,70.005,86.431,86.868
2047,28.159,0.9754,67.501,69.891,86.587,87.034
2048,28.02,0.98117,67.626,70.047,87.158,87.668
2049,27.725,0.94547,67.719,70.182,87.896,88.384
2050,27.725,0.91321,67.865,70.514,88.914,89.475
2051,27.902,0.92703,68.281,71.2,90.057,90.608
2052,27.804,0.96042,68.644,71.803,91.086,91.616
2053,27.48,0.97865,68.561,71.813,91.543,92.031
2054,27.469,0.98046,68.166,71.387,90.826,91.366
2055,27.705,0.96577,67.366,70.525,89.808,90.14
2056,27.943,0.9851,66.899,69.964,89.423,89.662
2057,28.114,0.98263,67.075,69.932,89.766,89.818
2058,28.174,0.9512,67.283,70.078,89.932,89.735
2059,27.929,0.94807,67.782,70.618,90.816,90.462
2060,27.464,0.94177,66.764,69.496,90.026,89.714
2061,27.404,0.94493,65.891,68.551,89.579,89.091
2062,27.649,0.97243,65.299,68.177,88.987,88.416
2063,27.687,0.95137,64.457,67.21,88.052,87.543
2064,27.725,0.94217,63.917,66.618,87.429,86.878
2065,27.68,0.95948,65.278,68.094,88.675,88.021
2066,27.394,0.9638,66.691,69.61,89.631,89.091
2067,27.283,0.97182,67.345,70.213,90.036,89.756
2068,27.311,0.96777,67.439,70.431,90.255,90.078
2069,27.213,0.99583,64.945,68.052,88.488,88.384
2070,27.016,1.0512,61.922,64.873,86.774,86.743
2071,26.818,1.0793,60.395,63.21,86.026,85.995
2072,26.874,1.0427,59.055,61.694,85.382,85.351
2073,26.952,1.0242,58.306,60.81,85.444,85.351
2074,26.95,1.0544,60.104,62.525,87.636,87.522
2075,27.358,1.0698,62.348,64.883,89.621,89.579
2076,28.547,1.0612,62.431,65.081,90.119,90.099
2077,29.544,1.0198,61.216,64.031,89.631,89.527
2078,28.76,0.98776,60.717,63.771,89.621,89.6
2079,26.816,0.97865,60.281,63.501,89.319,89.423
2080,26.066,0.93536,60.571,63.969,89.475,89.694
2081,26.371,0.90551,60.405,64.062,89.392,89.621
2082,26.957,0.93585,61.642,65.382,90.712,91.065
2083,27.457,0.96127,62.504,66.452,91.875,92.249
2084,27.408,0.94459,63.138,67.221,93.039,93.403
2085,27.155,0.95098,62.649,66.701,93.517,93.797
2086,27.392,0.98133,62.951,66.836,94.431,94.753
2087,27.659,0.9957,63.096,66.951,94.327,94.608
2088,27.816,0.97753,60.488,64.073,91.73,91.938
2089,27.709,1,59.439,62.795,90.784,90.888
2090,27.163,1.0168,59.356,62.649,90.504,90.577
2091,26.442,0.97112,59.179,62.452,90.057,90.109
2092,25.895,0.94969,59.242,62.629,90.223,90.213
2093,25.862,0.97904,61.766,65.34,92.405,92.343
2094,26.434,1.0111,62.556,66.255,92.769,92.706
2095,27.102,1.0178,62.473,66.338,92.54,92.447
2096,27.517,1.0339,62.795,66.67,92.353,92.218
2097,27.535,1.0397,63.086,66.899,92.405,92.291
2098,27.199,1.0181,61.278,64.748,90.223,90.099
2099,26.677,1.0332,60.922,64.325,89.636,89.506
2100,26.273,1.0923,60.762,63.931,88.866,88.727
