Year,Tmax,DT,E0_OA1,E0_OA0,E1_OA1,E1_OA0
2021,27.531,0.90876,69.839,70.753,78.338,78.265
2022,28.128,0.93615,70.722,71.813,78.795,78.732
2023,28.375,0.90687,70.306,71.584,78.057,77.953
2024,28.504,0.90143,68.332,69.829,75.844,75.792
2025,28.502,0.9621,65.143,66.691,73.621,73.652
2026,27.922,1.0293,63.574,65.091,73.081,73.216
2027,27.1,1.0222,62.119,63.616,72.53,72.758
2028,27.28,1.0263,59.844,61.475,71.377,71.688
2029,27.832,1.0544,59.647,61.506,72.717,73.122
2030,28.17,1.0542,60,62.016,73.34,73.652
2031,28.333,1.0773,58.649,61.319,72.831,73.07
2032,28.353,1.117,56.145,59.574,71.553,72.042
2033,28.274,1.0938,54.732,58.795,71.034,71.844
2034,28.262,1.0895,51.543,55.979,67.553,68.53
2035,28.308,1.1529,48.301,53.07,64.748,66.13
2036,28.284,1.2236,45.195,50.161,62.93,64.706
2037,28.186,1.23,39.917,45.018,58.649,60.738
2038,28.166,1.2658,33.527,38.473,53.33,55.834
2039,28.219,1.3448,28.561,33.444,50.161,53.361
2040,28.289,1.3695,23.574,28.488,46.348,50.171
2041,28.311,1.3817,18.369,23.003,40.831,45.07
2042,28.088,1.4022,15.418,19.543,37.382,42.255
2043,27.753,1.4288,13.319,17.216,35.273,40.977
2044,27.797,1.466,11.99,15.626,34.099,40.862
2045,27.996,1.491,10.836,14.348,33.974,41.361
2046,28.11,1.4902,9.8701,13.278,34.13,42.119
2047,28.159,1.4906,8.9143,12.416,34.4,42.67
2048,28.02,1.5101,8.374,11.99,35.003,43.158
2049,27.725,1.5241,7.6779,11.075,33.527,40.571
2050,27.725,1.5705,6.5662,9.3506,30.099,36.779
2051,27.902,1.6259,5.6935,8.0416,27.148,33.922
2052,27.804,1.6111,5.0182,6.961,24.353,31.19
2053,27.48,1.6233,4.1766,5.6416,20.125,26.4
2054,27.469,1.6955,3.4286,4.6442,17.008,23.169
2055,27.705,1.7103,3.1688,4.3221,15.138,20.79
2056,27.943,1.694,2.8779,3.8234,12.987,17.964
2057,28.114,1.7379,2.639,3.3662,11.013,15.127
2058,28.174,1.7905,2.4935,3.0442,9.839,13.538
2059,27.929,1.8273,2.4416,2.9299,9.4338,12.883
2060,27.464,1.864,2.4,2.8675,8.9558,12.312
2061,27.404,1.8983,2.3792,2.8156,8.426,11.626
2062,27.649,1.9326,2.3481,2.7325,7.3662,9.9221
2063,27.687,1.9907,2.1091,2.4519,6.5662,8.6649
2064,27.725,2.0407,1.8078,2.1506,5.7974,7.4909
2065,27.68,2.0477,1.4545,1.8078,5.0286,6.1403
2066,27.394,2.0817,1.0494,1.361,3.8442,4.3013
2067,27.283,2.1419,0.65455,0.91429,3.4494,3.9584
2068,27.311,2.1633,0.44675,0.66494,2.8987,3.439
2069,27.213,2.2071,0.29091,0.44675,2.3377,2.9195
2070,27.016,2.2724,0.18701,0.28052,1.787,2.3896
2071,26.818,2.2574,0.13506,0.20779,1.7039,2.3273
2072,26.874,2.2393,0.083117,0.15584,1.2364,1.7247
2073,26.952,2.2674,0.051948,0.11429,0.95584,1.3714
2074,26.95,2.3074,0.031169,0.083117,0.68571,0.97662
2075,27.358,2.3372,0.01039,0.051948,0.44675,0.65455
2076,28.547,2.3706,0,0.020779,0.21818,0.35325
2077,29.544,2.4182,0,0,0.13506,0.24935
2078,28.76,2.4668,0,0,0.1039,0.17662
2079,26.816,2.4865,0,0,0.083117,0.14545
2080,26.066,2.5376,0,0,0.062338,0.11429
2081,26.371,2.601,0,0,0.051948,0.083117
2082,26.957,2.608,0,0,0.051948,0.072727
2083,27.457,2.5847,0,0,0.051948,0.062338
2084,27.408,2.5947,0,0,0.051948,0.051948
2085,27.155,2.6317,0,0,0.051948,0.051948
2086,27.392,2.6669,0,0,0.041558,0.051948
2087,27.659,2.6839,0,0,0.031169,0.051948
2088,27.816,2.7075,0,0,0.020779,0.051948
2089,27.709,2.7693,0,0,0.01039,0.051948
2090,27.163,2.8323,0,0,0,0.051948
2091,26.442,2.8873,0,0,0,0.041558
2092,25.895,2.933,0,0,0,0.031169
2093,25.862,2.9799,0,0,0,0.020779
2094,26.434,2.9908,0,0,0,0.01039
2095,27.102,2.9942,0,0,0,0
2096,27.517,3.0419,0,0,0,0
2097,27.535,3.0877,0,0,0,0
2098,27.199,3.095,0,0,0,0
2099,26.677,3.0788,0,0,0,0
2100,26.273,3.082,0,0,0,0
