Year,Tmax,DT,E0_OA1,E0_OA0,E1_OA1,E1_OA0
1870,29.678,0,99.688,99.688,99.532,99.532
1880,28.577,0,99.649,99.649,99.403,99.403
1890,26.787,0,99.481,99.481,99.231,99.231
1900,27.379,0,99.387,99.387,99.003,99.003
1910,26.249,0,99.47,99.47,99.075,99.065
1920,27.425,0,98.618,98.597,97.995,97.974
1930,27.077,0.0056685,98.421,98.4,97.745,97.714
1940,26.723,0.063993,98.151,98.119,97.33,97.288
1950,28.55,0.10432,97.226,97.195,96.166,96.114
1951,27.8,0.13341,96.592,96.53,95.397,95.335
1952,27.128,0.17073,96.748,96.686,95.584,95.512
1953,27.787,0.14285,96.416,96.332,95.242,95.158
1954,28.745,0.10295,96.738,96.665,95.709,95.636
1955,28.41,0.088391,97.195,97.122,96.301,96.218
1956,27.556,0.10743,97.257,97.216,96.312,96.239
1957,27.519,0.14941,97.735,97.714,96.717,96.655
1958,26.875,0.13939,97.974,97.974,96.842,96.79
1959,26.56,0.087271,97.444,97.444,96.031,95.979
1960,26.726,0.077761,97.579,97.538,96.031,95.99
1961,26.251,0.1039,97.984,97.932,96.561,96.519
1962,26.307,0.060047,97.943,97.891,96.623,96.582
1963,27.286,0,98.016,97.953,96.81,96.769
1964,27.52,0,98.068,97.995,96.945,96.894
1965,26.749,0,97.787,97.714,96.821,96.769
1966,26.555,0,97.569,97.475,96.655,96.582
1967,27.108,0,97.538,97.413,96.706,96.613
1968,27,0,97.6,97.455,96.862,96.748
1969,26.165,0,98.099,97.932,97.548,97.413
1970,26.261,0.0083133,98.722,98.587,98.39,98.244
1971,27.485,0.041306,99.023,98.899,98.743,98.608
1972,28.319,0.058366,99.013,98.909,98.774,98.66
1973,27.952,0.071659,99.096,99.013,98.899,98.805
1974,26.532,0.055336,99.158,99.096,99.023,98.951
1975,26.163,0.034272,99.117,99.065,98.951,98.888
1976,27.215,0.051353,99.242,99.21,99.086,99.044
1977,28.168,0.093785,99.522,99.501,99.418,99.387
1978,28.169,0.12414,99.564,99.553,99.47,99.46
1979,27.19,0.13122,99.626,99.626,99.512,99.512
1980,26.353,0.14025,99.543,99.543,99.397,99.408
1981,25.708,0.13095,99.138,99.138,99.023,99.034
1982,25.432,0.12622,97.496,97.496,97.091,97.112
1983,25.61,0.14979,97.434,97.423,96.956,96.966
1984,26.154,0.19158,97.268,97.257,96.696,96.706
1985,26.855,0.18933,96.821,96.81,96.208,96.218
1986,26.995,0.20309,94.213,94.182,93.288,93.278
1987,27.619,0.25413,93.953,93.922,93.049,93.049
1988,28.406,0.29744,92.426,92.405,91.325,91.335
1989,28.288,0.27635,90.909,90.888,89.694,89.704
1990,27.297,0.25764,89.371,89.299,87.927,87.917
1991,26.885,0.27041,90.244,90.14,88.821,88.79
1992,27.594,0.30448,90.192,90.047,88.717,88.655
1993,28.046,0.29718,90.369,90.192,89.029,88.914
1994,28.506,0.29106,89.777,89.569,88.395,88.208
1995,28.619,0.34131,89.953,89.766,88.675,88.405
1996,28.277,0.42424,90.223,90.047,89.07,88.748
1997,28.474,0.46478,91.127,90.982,90.39,89.995
1998,28.862,0.46548,90.494,90.369,89.932,89.506
1999,28.976,0.47169,91.335,91.221,91.117,90.67
2000,28.816,0.51905,89.829,89.714,89.953,89.59
2001,28.805,0.57439,88.769,88.613,89.382,89.039
2002,28.672,0.61101,87.855,87.657,88.499,88.166
2003,28.232,0.58494,87.501,87.252,88.405,88.042
2004,28.333,0.57532,85.631,85.351,86.847,86.504
2005,28.561,0.61987,83.564,83.262,85.143,84.79
2006,28.59,0.66031,81.673,81.392,83.813,83.481
2007,28.609,0.68327,78.992,78.774,81.777,81.538
2008,28.403,0.64792,76.571,76.436,79.823,79.73
2009,28.109,0.63088,74.213,74.234,78.078,78.078
2010,28.324,0.67698,74.421,74.577,78.795,78.857
2011,28.561,0.69958,74.223,74.545,78.597,78.743
2012,28.635,0.68091,74.826,75.148,79.138,79.231
2013,28.51,0.71142,73.33,73.714,77.922,78.016
2014,28.231,0.78139,72.79,73.091,77.642,77.704
2015,28.234,0.8315,72.405,72.686,77.569,77.61
2016,28.397,0.82565,71.616,71.886,77.777,77.787
2017,28.528,0.83579,69.33,69.704,76.738,76.758
2018,28.527,0.84478,70.369,70.722,78.462,78.473
2019,27.973,0.81253,70.244,70.681,78.774,78.712
2020,27.213,0.83718,70.119,70.805,78.951,78.857
