Year,Tmax,DT,E0_OA1,E0_OA0,E1_OA1,E1_OA0
1870,29.678,0,99.203,99.671,99.065,99.532
1880,28.577,0,99.169,99.636,98.909,99.377
1890,26.787,0,98.992,99.46,98.743,99.21
1900,27.379,0,98.888,99.356,98.504,98.971
1910,26.249,0,98.982,99.449,98.566,99.023
1920,27.425,0,98.119,98.566,97.455,97.87
1930,27.077,0.0056685,97.922,98.369,97.216,97.631
1940,26.723,0.063993,97.652,98.099,96.769,97.184
1950,28.55,0.10432,96.738,97.174,95.574,95.99
1951,27.8,0.13341,96.104,96.519,94.795,95.19
1952,27.128,0.17073,96.27,96.686,95.003,95.408
1953,27.787,0.14285,95.938,96.332,94.67,95.044
1954,28.745,0.10295,96.27,96.665,95.169,95.543
1955,28.41,0.088391,96.717,97.112,95.782,96.145
1956,27.556,0.10743,96.779,97.195,95.792,96.187
1957,27.519,0.14941,97.247,97.683,96.187,96.613
1958,26.875,0.13939,97.455,97.912,96.301,96.758
1959,26.56,0.087271,96.894,97.351,95.481,95.938
1960,26.726,0.077761,96.987,97.413,95.491,95.938
1961,26.251,0.1039,97.361,97.777,96,96.447
1962,26.307,0.060047,97.299,97.714,96.052,96.478
1963,27.286,0,97.371,97.777,96.218,96.623
1964,27.52,0,97.423,97.797,96.322,96.696
1965,26.749,0,97.153,97.538,96.166,96.54
1966,26.555,0,96.956,97.33,96.042,96.374
1967,27.108,0,96.945,97.299,96.125,96.436
1968,27,0,97.029,97.371,96.312,96.603
1969,26.165,0,97.548,97.901,97.039,97.319
1970,26.261,0.0083133,98.203,98.587,97.922,98.203
1971,27.485,0.041306,98.514,98.899,98.265,98.566
1972,28.319,0.058366,98.514,98.909,98.275,98.608
1973,27.952,0.071659,98.608,99.013,98.39,98.753
1974,26.532,0.055336,98.681,99.096,98.494,98.888
1975,26.163,0.034272,98.649,99.065,98.421,98.836
1976,27.215,0.051353,98.764,99.2,98.545,98.982
1977,28.168,0.093785,99.044,99.491,98.888,99.335
1978,28.169,0.12414,99.086,99.543,98.909,99.366
1979,27.19,0.13122,99.148,99.616,98.94,99.408
1980,26.353,0.14025,99.065,99.532,98.805,99.273
1981,25.708,0.13095,98.67,99.138,98.431,98.899
1982,25.432,0.12622,96.997,97.475,96.488,96.956
1983,25.61,0.14979,96.925,97.392,96.374,96.842
1984,26.154,0.19158,96.748,97.216,96.125,96.592
1985,26.855,0.18933,96.281,96.748,95.605,96.083
1986,26.995,0.20309,93.61,94.078,92.634,93.091
1987,27.619,0.25413,93.319,93.787,92.395,92.862
1988,28.406,0.29744,91.74,92.229,90.67,91.138
1989,28.288,0.27635,90.192,90.681,89.029,89.496
1990,27.297,0.25764,88.655,89.049,87.262,87.668
1991,26.885,0.27041,89.558,89.901,88.135,88.53
1992,27.594,0.30448,89.527,89.818,87.938,88.301
1993,28.046,0.29718,89.745,89.974,88.166,88.457
1994,28.506,0.29106,89.174,89.361,87.356,87.584
1995,28.619,0.34131,89.351,89.59,87.532,87.751
1996,28.277,0.42424,89.631,89.87,87.886,88.052
1997,28.474,0.46478,90.577,90.826,89.288,89.423
1998,28.862,0.46548,89.964,90.223,88.925,89.049
1999,28.976,0.47169,90.836,91.086,90.275,90.4
2000,28.816,0.51905,89.371,89.6,89.236,89.371
2001,28.805,0.57439,88.229,88.509,88.727,88.862
2002,28.672,0.61101,87.304,87.584,87.813,87.969
2003,28.232,0.58494,86.971,87.242,87.699,87.875
2004,28.333,0.57576,85.205,85.475,86.265,86.473
2005,28.561,0.62393,82.649,83.013,84.135,84.374
2006,28.59,0.67423,80.623,80.997,82.514,82.816
2007,28.609,0.71049,78.047,78.494,80.706,81.008
2008,28.403,0.69265,75.74,76.301,79.127,79.449
2009,28.109,0.67341,74.629,75.304,78.597,78.951
2010,28.324,0.67072,75.47,76.073,79.771,80.094
2011,28.561,0.70145,76.457,77.06,81.07,81.288
2012,28.635,0.7399,77.382,77.995,81.922,82.119
2013,28.51,0.74437,78.327,78.899,82.649,82.836
2014,28.231,0.75712,78.982,79.532,83.397,83.47
2015,28.234,0.7482,80.499,81.008,85.112,85.132
2016,28.397,0.74711,81.808,82.379,86.39,86.525
2017,28.528,0.77206,81.631,82.244,86.452,86.649
2018,28.527,0.80013,81.995,82.681,87.127,87.366
2019,27.973,0.81611,81.974,82.774,87.273,87.647
2020,27.213,0.78931,82.587,83.564,87.792,88.249
2021,27.531,0.77054,82.836,83.865,87.927,88.384
2022,28.128,0.77263,80.738,81.683,85.756,86.119
2023,28.375,0.81287,80.343,81.351,85.569,85.943
2024,28.504,0.86953,79.958,80.956,85.59,85.964
2025,28.502,0.87631,78.836,79.958,85.018,85.444
2026,27.922,0.88072,73.766,74.868,80.509,80.977
2027,27.1,0.91712,71.584,72.758,79.47,80.125
2028,27.28,0.95674,68.062,69.143,77.029,77.725
2029,27.832,0.92729,64.831,65.943,74.639,75.345
2030,28.17,0.91908,60.977,62.057,71.574,72.26
2031,28.333,0.97283,60.457,61.694,72.01,72.686
2032,28.353,1.0107,60.644,62.171,72.208,72.8
2033,28.274,0.99273,59.086,60.8,70.151,70.868
2034,28.262,1.0181,56.436,58.275,67.127,67.886
2035,28.308,1.056,54.94,57.112,65.558,66.431
2036,28.284,1.0426,54.026,56.634,64.135,65.236
2037,28.186,1.0238,51.377,53.901,61.226,62.379
2038,28.166,1.0472,49.735,52.395,59.844,61.039
2039,28.219,1.1102,48.894,51.771,59.543,60.81
2040,28.289,1.1036,47.584,50.442,58.338,59.668
2041,28.311,1.1029,45.984,48.779,57.486,58.816
2042,28.088,1.1389,45.829,49.101,58.701,60.208
2043,27.753,1.1249,45.829,49.403,60.353,61.86
2044,27.797,1.0908,46.338,50.431,63.813,65.33
2045,27.996,1.0995,46.878,51.304,67.127,68.405
2046,28.11,1.1153,47.044,51.74,70.847,72.073
2047,28.159,1.1624,46.608,51.418,73.849,75.231
2048,28.02,1.1579,46.327,51.595,77.506,78.909
2049,27.725,1.1397,45.704,51.221,79.169,80.519
2050,27.725,1.1501,45.029,50.951,80.53,82.119
2051,27.902,1.1713,44.384,50.556,80.561,82.161
2052,27.804,1.2206,44.447,50.919,81.174,82.764
2053,27.48,1.2533,44.187,50.66,80.416,82.057
2054,27.469,1.2575,42.566,48.706,77.922,79.678
2055,27.705,1.2718,40.977,46.691,76.769,78.462
2056,27.943,1.2803,39.699,45.299,77.091,78.826
2057,28.114,1.2517,37.808,43.2,76.322,78.005
2058,28.174,1.2667,36,41.392,75.969,77.704
2059,27.929,1.306,35.335,40.81,76.987,78.795
2060,27.464,1.3023,34.483,40.156,77.33,79.408
2061,27.404,1.2918,32.291,37.818,75.356,77.527
2062,27.649,1.3272,30.338,35.751,73.818,75.958
2063,27.687,1.3704,27.896,32.862,71.314,73.413
2064,27.725,1.3833,25.486,30.296,69.319,71.429
2065,27.68,1.4059,23.99,28.81,68.301,70.431
2066,27.394,1.4271,22.712,27.574,67.169,69.413
2067,27.283,1.4709,20.156,24.488,64.083,66.618
2068,27.311,1.5164,18.078,21.932,62.899,65.881
2069,27.213,1.4984,16.239,19.449,61.039,64.457
2070,27.016,1.4932,13.662,16.052,58.431,62.203
2071,26.818,1.5209,11.792,13.361,55.543,59.616
2072,26.874,1.5513,11.751,13.351,55.397,59.626
2073,26.952,1.5975,11.647,13.423,53.922,58.151
2074,26.95,1.6029,11.387,13.34,52.717,56.904
2075,27.358,1.6231,10.556,12.499,49.735,53.735
2076,28.547,1.6942,9.6935,11.605,48.114,51.969
2077,29.544,1.7495,8.5506,10.265,46.348,50.119
2078,28.76,1.7676,7.1377,8.5714,42.67,46.556
2079,26.816,1.7904,5.6312,6.7117,39.148,43.044
2080,26.066,1.8264,4.7169,5.7143,37.091,41.122
2081,26.371,1.8233,4.0727,5.0597,34.888,39.034
2082,26.957,1.8159,3.2935,4.1766,32.208,36.551
2083,27.457,1.8407,2.9195,3.6468,31.273,35.74
2084,27.408,1.8448,2.7325,3.387,30.078,34.836
2085,27.155,1.8125,2.5143,3.0649,27.449,32.249
2086,27.392,1.8185,2.2857,2.7429,25.517,30.608
2087,27.659,1.8227,2.2442,2.587,23.761,28.997
2088,27.816,1.7813,2.0779,2.4208,20.738,25.392
2089,27.709,1.8111,1.8909,2.213,17.797,22.255
2090,27.163,1.887,1.5792,1.8909,16.561,21.143
2091,26.442,1.8875,1.2364,1.4961,14.94,19.387
2092,25.895,1.8731,0.87273,1.1117,13.216,17.59
2093,25.862,1.8956,0.56104,0.77922,12.873,17.725
2094,26.434,1.9246,0.31169,0.47792,12.592,17.486
